stt,tuvung,cachdoc,nghia,capdo,giaotrinh
1,人生,じんせい,Cuộc sống,N2,耳から覚えるN2
2,人間,にんげん,Nhân gian,N2,耳から覚えるN2
3,人,ひと,Người,N2,耳から覚えるN2
4,祖先,そせん,Tổ tiên,N2,耳から覚えるN2
5,親戚,しんせき,Họ hàng,N2,耳から覚えるN2
6,夫婦,ふうふ,Vợ chồng,N2,耳から覚えるN2
7,長男,ちょうなん,Trưởng nam,N2,耳から覚えるN2
8,主人,しゅじん,"Chủ cửa hàng, chồng",N2,耳から覚えるN2
9,双子,ふたご,Sinh đôi,N2,耳から覚えるN2
10,迷子,まいご,Trẻ bị lạc,N2,耳から覚えるN2
11,他人,たにん,Người khác,N2,耳から覚えるN2
12,敵,てき,Kẻ thù,N2,耳から覚えるN2
13,味方,みかた,"Bạn bè, đồng minh",N2,耳から覚えるN2
14,筆者,ひっしゃ,Tác giả,N2,耳から覚えるN2
15,寿命,じゅみょう,Tuổi thọ,N2,耳から覚えるN2
16,将来,しょうらい,Tương lai (gần),N2,耳から覚えるN2
17,才能,さいのう,Tài năng,N2,耳から覚えるN2
18,能力,のうりょく,Năng lực,N2,耳から覚えるN2
19,長所,ちょうしょ,"Sở trường, điểm mạnh",N2,耳から覚えるN2
20,個性,こせい,Cá tính,N2,耳から覚えるN2
21,遺伝,いでん,Di truyền,N2,耳から覚えるN2
22,動作,どうさ,Động tác,N2,耳から覚えるN2
23,真似,まね,"Copy, bắt chước",N2,耳から覚えるN2
24,睡眠,すいみん,Giấc ngủ,N2,耳から覚えるN2
25,食欲,しょくよく,Thèm ăn,N2,耳から覚えるN2
26,外食,がいしょく,Ăn ngoài,N2,耳から覚えるN2
27,家事,かじ,Việc nhà,N2,耳から覚えるN2
28,出産,しゅっさん,"Sinh, đẻ",N2,耳から覚えるN2
29,介護,かいご,Chăm sóc,N2,耳から覚えるN2
30,共働き,ともばたらき,Cùng nhau làm việc,N2,耳から覚えるN2
31,出勤,しゅっきん,Đi làm,N2,耳から覚えるN2
32,出世,しゅっせ,Thành đạt,N2,耳から覚えるN2
33,地位,ちい,"Địa vị, vị trí",N2,耳から覚えるN2
34,受験,じゅけん,Tham gia kì thi,N2,耳から覚えるN2
35,専攻,せんこう,Chuyên ngành,N2,耳から覚えるN2
36,支度,したく,Chuẩn bị,N2,耳から覚えるN2
37,全身,ぜんしん,Toàn thân,N2,耳から覚えるN2
38,しわ,しわ,Nếp nhăn,N2,耳から覚えるN2
39,服装,ふくそう,"Quần áo, trang phục",N2,耳から覚えるN2
40,礼,れい,"lễ, cảm ơn",N2,耳から覚えるN2
41,世辞,せじ,"Nịnh, ca tụng",N2,耳から覚えるN2
42,言い訳,いいわけ,"Giải thích, lý do lý trấu",N2,耳から覚えるN2
43,話題,わだい,Chủ đề,N2,耳から覚えるN2
44,秘密,ひみつ,Bí mật,N2,耳から覚えるN2
45,尊敬,そんけい,"Tôn trọng, tôn kính",N2,耳から覚えるN2
46,謙遜,けんそん,Khiêm tốn,N2,耳から覚えるN2
47,期待,きたい,"Mong chờ, mong đợi",N2,耳から覚えるN2
48,苦労,くろう,"Lo lắng, vất vả",N2,耳から覚えるN2
49,意志,いし,ý chí,N2,耳から覚えるN2
50,感情,かんじょう,"Biểu cảm, tâm trạng",N2,耳から覚えるN2
51,材料,ざいりょう,Nguyên liệu (nấu ăn),N2,耳から覚えるN2
52,石,いし,Đá,N2,耳から覚えるN2
53,紐,ひも,Sợi dây,N2,耳から覚えるN2
54,券,けん,Vé,N2,耳から覚えるN2
55,名簿,めいぼ,"Danh bạ, danh sách",N2,耳から覚えるN2
56,表,ひょう,Bảng biểu,N2,耳から覚えるN2
57,針,はり,Cái kim,N2,耳から覚えるN2
58,栓,せん,Cái nắp,N2,耳から覚えるN2
59,湯気,ゆげ,"Hơi, khí",N2,耳から覚えるN2
60,日当たり,ひあたり,nơi có ánh sáng chiếu vào,N2,耳から覚えるN2
61,空,から,Trống rỗng,N2,耳から覚えるN2
62,斜め,ななめ,nghiêng,N2,耳から覚えるN2
63,=,りれき,lý lịch,N2,耳から覚えるN2
64,娯楽,ごらく,"vui chơi, thú vui",N2,耳から覚えるN2
65,司会,しかい,"chủ trì buổi tiệc, hội nghị",N2,耳から覚えるN2
66,歓迎,かんげい,hoan nghênh,N2,耳から覚えるN2
67,窓口,まどぐち,cửa bán vé,N2,耳から覚えるN2
68,手続き,てつづき,thủ tục,N2,耳から覚えるN2
69,徒歩,とほ,đi bộ,N2,耳から覚えるN2
70,駐車,ちゅうしゃ,Đỗ xe,N2,耳から覚えるN2
71,違反,いはん,vi phạm,N2,耳から覚えるN2
72,平日,へいじつ,ngày thường,N2,耳から覚えるN2
73,日付,ひづけ,ngày tháng,N2,耳から覚えるN2
74,日中,にっちゅう,ban ngày,N2,耳から覚えるN2
75,日程,にってい,"lịch trình, kế hoạch",N2,耳から覚えるN2
76,日帰り,ひがえり,đi về trong ngày,N2,耳から覚えるN2
77,順序,じゅんじょ,thứ tự,N2,耳から覚えるN2
78,時期,じき,thời kì,N2,耳から覚えるN2
79,現在,げんざい,hiện tại,N2,耳から覚えるN2
80,臨時,りんじ,tạm thời ,N2,耳から覚えるN2
81,費用,ひよう,chi phí,N2,耳から覚えるN2
82,定価,ていか,giá cố định,N2,耳から覚えるN2
83,割引,わりびき,giảm giá,N2,耳から覚えるN2
84,お負け ,おまけ,quà khuyến mại、quà kèm theo,N2,耳から覚えるN2
85,無料,むりょう,miễn phí,N2,耳から覚えるN2
86,現金,げんきん,tiền mặt,N2,耳から覚えるN2
87,合計,ごうけい,tổng cộng,N2,耳から覚えるN2
88,収入,しゅうにゅう,thu nhập,N2,耳から覚えるN2
89,支出,ししゅつ,"Chi ra, chi tiêu ",N2,耳から覚えるN2
90,予算,よさん,ngân sách,N2,耳から覚えるN2
91,利益,りえき,lợi nhuận,N2,耳から覚えるN2
92,赤字,あかじ,"lỗ, thâm hụt",N2,耳から覚えるN2
93,経費,けいひ,kinh phí,N2,耳から覚えるN2
94,勘定,かんじょう,"tính toán, thanh toán　
（勘定お願いします：chủ quán tính tiền ）",N2,耳から覚えるN2
95,弁償,べんしょう,bồi thường,N2,耳から覚えるN2
96,請求,せいきゅう,"Thỉnh cầu, yêu cầu",N2,耳から覚えるN2
97,景気,けいき,Tình hình; tình trạng; tình hình kinh tế,N2,耳から覚えるN2
98,募金,ぼきん,"quyên tiền, gây quỹ",N2,耳から覚えるN2
99,寄付,きふ,đóng góp,N2,耳から覚えるN2
100,募集,ぼしゅう,tuyển dụng,N2,耳から覚えるN2
101,価値,かち,giá trị,N2,耳から覚えるN2
102,好む,このむ,thích,N2,耳から覚えるN2
103,嫌う,きらう,ghét　,N2,耳から覚えるN2
104,願う,ねがう,"ước, yêu cầu",N2,耳から覚えるN2
105,甘える,あまえる,nũng nịu,N2,耳から覚えるN2
106,甘やかす,あまやかす,nuông chiều (con cái),N2,耳から覚えるN2
107,可愛がる,かわいがる,"yêu mến, nâng niu",N2,耳から覚えるN2
108,気付く,きづく,nhận ra,N2,耳から覚えるN2
109,疑う,うたがう,nghi ngờ,N2,耳から覚えるN2
110,苦しむ,くるしむ,"khổ, chịu đựng",N2,耳から覚えるN2
111,悲しむ,かなしむ,buồn,N2,耳から覚えるN2
112,がっかりする,がっかりする,thất vọng,N2,耳から覚えるN2
113,励ます,はげます,động viên,N2,耳から覚えるN2
114,励む,はげむ,tự động viên mình　,N2,耳から覚えるN2
115,頷く,うなずく,"gật đầu, đồng ý",N2,耳から覚えるN2
116,張り切る,はりきる,"hăm hở, làm việc chăm chỉ",N2,耳から覚えるN2
117,威張る,いばる,kiêu ngạo,N2,耳から覚えるN2
118,怒鳴る,どなる,hét lên,N2,耳から覚えるN2
119,暴れる,あばれる,"nổi giận, bạo lực",N2,耳から覚えるN2
120,しゃがむ,しゃがむ,"ngồi chơi, ngồi xổm",N2,耳から覚えるN2
121,退く,どく,làm tránh ra,N2,耳から覚えるN2
122,退ける,どける,tránh ra,N2,耳から覚えるN2
123,被る,かぶる,đội (hướng về bản thân),N2,耳から覚えるN2
124,被せる,かぶせる,phủ lên (hướng về phía khác),N2,耳から覚えるN2
125,齧る,かじる,"nhai, cắn (dấu vết)",N2,耳から覚えるN2
126,撃つ,うつ,bắn,N2,耳から覚えるN2
127,漕ぐ,こぐ,"đạp xe, chèo",N2,耳から覚えるN2
128,敷く,しく,trải ra,N2,耳から覚えるN2
129,注ぐ,つぐ,rót (rượu),N2,耳から覚えるN2
130,配る,くばる,phân phát,N2,耳から覚えるN2
131,放る,ほうる,"ném, bỏ mặc",N2,耳から覚えるN2
132,掘る,ほる,"đào, khai quật",N2,耳から覚えるN2
133,撒く,まく,"rắc, rải",N2,耳から覚えるN2
134,測る・計る・量る,はかる,"đo, đo đạc",N2,耳から覚えるN2
135,占う,うらなう,"dự đoán, bói",N2,耳から覚えるN2
136,引っ張る,ひっぱる,kéo,N2,耳から覚えるN2
137,突く,つく,"chọc, đâm",N2,耳から覚えるN2
138,突き当たる,つきあたる,"đi hết đường, đến cuối đường",N2,耳から覚えるN2
139,立ち止まる,たちどまる,dừng lại,N2,耳から覚えるN2
140,近寄る,ちかよる,tiếp cận,N2,耳から覚えるN2
141,横切る,よこぎる,"băng xéo qua, cắt ngang (hàng, người khác)",N2,耳から覚えるN2
142,転ぶ,ころぶ,ngã,N2,耳から覚えるN2
143,躓く,つまずく,vấp (Vd: vấp hòn đá),N2,耳から覚えるN2
144,ひく,ひく,"chèn, cán qua (車にひかれる bị xe cán)",N2,耳から覚えるN2
145,溺れる,おぼれる,"chìm, đắm",N2,耳から覚えるN2
146,痛む,いたむ,đau,N2,耳から覚えるN2
147,かかる,かかる,bị nhiễm,N2,耳から覚えるN2
148,酔う,よう,say,N2,耳から覚えるN2
149,吐く,はく,"thở ra, nôn ra",N2,耳から覚えるN2
150,診る,みる,chuẩn đoán,N2,耳から覚えるN2
151,見舞う,みまう,đi thăm bệnh,N2,耳から覚えるN2
152,勤める,つとめる,làm việc,N2,耳から覚えるN2
153,稼ぐ,かせぐ,kiếm tiền,N2,耳から覚えるN2
154,支払う,しはらう,trả tiền,N2,耳から覚えるN2
155,受け取る,うけとる,nhận,N2,耳から覚えるN2
156,払い込む,はらいこむ,trả vào,N2,耳から覚えるN2
157,払い戻す,はらいもどす,trả lại,N2,耳から覚えるN2
158,引き出す,ひきだす,rút ra,N2,耳から覚えるN2
159,儲かる,もうかる,có lợi nhuận,N2,耳から覚えるN2
160,儲ける,もうける,"kiếm lợi, có con",N2,耳から覚えるN2
161,落ち込む,おちこむ,"giảm, rơi",N2,耳から覚えるN2
